Episode,TotalReward
434,1.25
435,-4.699999999999999
436,-4.9
437,-3.9
438,-2.8
439,-2.4499999999999997
440,-3.5
441,-4.3
442,-3.0
443,-4.5
444,-5.9
445,-4.0
446,-1.65
447,-1.7999999999999998
448,-2.4
449,-2.25
450,-3.5
451,-6.0
452,-4.15
453,-3.15
454,-7.0
455,-3.5
456,-5.5
457,-4.4
458,-8.4
459,-6.0
460,-6.25
461,-4.25
462,-5.75
463,-4.5
464,-4.0
465,-5.4
466,-5.9
467,-7.0
468,-6.0
469,-6.5
470,-5.5
471,-3.1999999999999997
472,-8.5
473,-3.1999999999999997
474,-3.3
475,-6.5
476,-4.0
477,-3.65
478,-6.25
479,-4.65
480,-5.5
481,-3.15
482,-4.8
483,-3.9
484,-7.25
485,-5.75
486,-2.9499999999999997
487,-6.0
488,-7.5
489,-5.65
490,-3.75
491,-7.0
492,-6.4
493,-3.4
494,-8.0
495,-1.75
496,-5.5
497,-3.5
498,-6.5
499,-6.75
500,-3.15
501,-6.75
502,-1.6999999999999997
503,-5.75
504,-5.75
505,-5.0
506,-0.5
507,-2.4
508,-3.65
509,-4.4
510,-5.5
511,-4.4
512,-4.25
513,-5.0
514,-2.0
515,-3.9
516,-5.5
517,-0.09999999999999998
518,-3.75
519,-6.5
520,-5.0
521,-5.9
522,-5.15
523,-3.05
524,-6.0
525,-6.75
526,-6.25
527,-4.25
528,-6.5
529,-4.9
530,-5.5
531,-3.55
532,-6.4
533,-3.55
534,-0.3999999999999999
535,-1.0499999999999998
536,-6.25
537,-3.9
538,-0.3999999999999999
539,-4.5
540,-5.25
541,-4.25
542,-3.5
543,-4.5
544,-1.15
545,-4.0
546,-4.15
547,-4.0
548,-4.5
549,-3.4
550,-6.5
551,-3.65
552,-5.5
553,-3.55
554,-0.5499999999999998
555,-4.5
556,-3.75
557,-1.7999999999999998
558,0.5
559,-4.75
560,-4.800000000000001
561,-4.0
562,-4.4
563,-5.25
564,-6.75
565,-3.4
566,-5.75
567,-6.25
568,-3.3
569,-5.9
570,-4.65
571,0.0
572,-4.75
573,-1.7999999999999998
574,-1.25
575,-6.25
576,-5.5
577,-5.5
578,-4.300000000000001
579,-4.5
580,-3.25
581,-4.5
582,-2.75
583,-4.0
584,-4.9
585,-0.75
586,-2.8
587,-2.0
588,-4.0
589,-2.8
590,-5.15
591,-0.7999999999999999
592,-3.75
593,-6.0
594,-4.75
595,-2.9
596,-6.25
597,-5.75
598,-2.3
599,0.7000000000000002
600,-3.9
601,-3.15
602,-7.5
603,1.8499999999999996
604,-1.5
605,-3.75
606,-5.0
607,-0.5
608,-0.15000000000000002
609,-4.15
610,-5.15
611,-0.7999999999999998
612,-8.5
613,-5.0
614,-3.15
615,-4.25
616,-1.65
617,-5.4
618,-3.15
619,-0.7000000000000001
620,-4.9
621,-5.9
622,-4.5
623,-7.75
624,-4.25
625,-3.55
626,-5.75
627,-4.3
628,-2.8
629,-3.25
630,-2.05
631,-3.55
632,-5.3
633,-4.65
634,-6.75
635,-6.0
636,-5.5
637,-2.0
638,-2.9
639,-6.15
640,-5.65
641,-5.5
642,-4.4
643,-5.25
644,-7.0
645,-4.8
646,-1.9
647,-7.75
648,-3.75
649,-3.9
650,-4.25
651,-0.6499999999999999
652,-5.75
653,-3.5
654,-5.25
655,-4.0
656,-5.0
657,-6.0
658,-2.15
659,-4.0
660,-4.75
661,-7.0
662,-3.9
663,-5.0
664,-2.3
665,-7.5
666,-6.0
667,-5.65
668,-2.65
669,-5.9
670,-4.25
671,-5.4
672,-3.75
673,-4.75
674,-5.0
675,-4.75
676,-5.75
677,-5.65
678,-4.5
679,-5.0
680,-5.4
681,-5.4
682,-3.6999999999999997
683,-2.4
684,-0.5
685,-4.0
686,-6.4
687,-6.3
688,-2.5
689,-0.5
690,-2.8
691,-5.75
692,-3.5
693,-1.25
694,-2.25
695,-3.0
696,-2.8
697,-4.0
698,-3.65
699,-3.4
700,-3.25
701,-3.15
702,-1.5
703,-2.05
704,-5.25
705,-4.3
706,-7.5
707,-1.75
708,-5.5
709,-4.15
710,-1.55
711,-4.4
712,-4.25
713,-2.1999999999999997
714,-3.75
715,-1.45
716,-2.75
717,-1.15
718,-4.050000000000001
719,-5.5
720,-4.9
721,-3.9
722,-5.9
723,-7.5
724,-4.4
725,-4.9
726,-4.25
727,-5.0
728,-3.65
729,-2.9
730,-3.4
731,-1.75
732,-5.25
733,-4.65
734,-5.75
735,-6.0
736,-5.9
737,-2.1999999999999997
738,-7.25
739,-6.4
740,0.75
741,-5.65
742,-6.25
743,-6.5
744,-1.7999999999999998
745,-3.05
746,-4.4
747,-6.5
748,-1.7999999999999998
749,-2.5
750,-5.550000000000001
751,-5.9
752,-4.5
753,-4.4
754,-2.0
755,-0.1499999999999999
756,-5.4
757,-2.5
758,-1.7000000000000002
759,-6.0
760,-3.15
761,-6.4
762,-2.3
763,-4.5
764,-2.15
765,-5.0
766,-5.0
767,-4.75
768,-2.25
769,-4.65
770,-5.75
771,-5.050000000000001
772,-3.5
773,-4.050000000000001
774,-2.9
775,0.25
776,-4.9
777,-3.9
778,-3.5
779,-3.9
780,-3.25
781,-7.5
782,-4.0
783,-4.9
784,-2.9499999999999997
785,-5.15
786,-5.0
787,-6.25
788,-4.15
789,-2.15
790,0.75
791,-2.65
792,-2.15
793,-6.5
794,-7.0
795,-2.3
796,-3.65
797,-4.25
798,-4.5
799,-6.5
800,-4.75
801,-7.25
802,-3.8
803,-4.75
804,-6.25
805,-4.4
806,-6.4
807,-3.05
808,-5.0
809,-6.0
810,-5.5
811,-5.9
812,-4.15
813,-4.65
814,-6.9
815,-7.0
816,-2.25
817,-0.75
818,-1.9
819,-2.75
820,-3.5
821,-4.5
822,-3.0
823,-3.4
824,-5.15
825,-3.0
826,-2.8
827,-4.75
828,-5.3
829,-2.9499999999999997
830,-1.7999999999999998
831,-7.75
832,-0.8
833,-3.4
834,-5.9
835,-4.55
836,-3.9
837,-5.5
838,-3.05
839,-3.4
840,-8.0
841,-6.75
842,-2.0
843,-4.4
844,-4.9
845,-4.65
846,-5.0
847,-3.9
848,-4.25
849,-5.0
850,-2.65
851,-3.4
852,-1.9
853,-4.0
854,-1.2999999999999998
855,-1.8
856,-6.4
857,-3.15
858,-4.9
859,-4.4
860,-2.25
861,-3.55
862,-6.0
863,-3.0
864,-3.4
865,-4.4
866,-1.4
867,-3.0
868,-3.9
869,-6.15
870,-6.75
871,-3.25
872,-5.0
873,-4.3
874,-3.55
875,-1.9
876,-5.4
877,-4.5
878,-2.15
879,-3.9500000000000006
880,-5.4
881,-7.25
882,-3.3
883,-4.75
884,-0.25
885,-3.05
886,-5.65
887,-2.8
888,-4.65
889,-5.75
890,-5.9
891,-3.65
892,-4.15
893,-3.15
894,-5.4
895,-4.25
896,-3.15
897,-5.5
898,-5.5
899,-2.8
900,-4.5
901,-6.25
902,-6.25
903,-4.65
904,-5.0
905,-6.4
906,-2.9
907,-5.4
908,-1.65
909,-7.5
910,-4.9
911,-4.15
912,-4.0
913,-3.75
914,-6.15
915,-3.55
916,-4.0
917,-6.25
918,-4.15
919,-2.3
920,-3.4
921,-6.25
922,2.2
923,-2.9
924,-5.9
925,-4.75
926,-4.15
927,-5.800000000000001
928,-3.05
929,-7.0
930,-5.15
931,-5.75
932,-6.15
933,-3.75
934,-3.0999999999999996
935,1.1
936,-3.5
937,-4.25
938,-0.4
939,-4.15
940,-3.65
941,-3.9499999999999997
